,counter,phi,theta,psi,accel_x,accel_y,accel_z,gps_x,gps_y,gps_z,height,ultrasound,opticflow_vx,opticflow_vy
1153,1153,-275,434,-2050,-118,85,109,392433294,30036014,500219760,1.050781,35952,-4.162302,35.345219
1154,1154,-283,432,-2010,-266,30,-186,392433291,30036011,500219762,1.046875,3205,4.242662,50.125381
1155,1155,-283,432,-2010,-266,30,-186,392433291,30036011,500219762,1.046875,3205,4.242662,50.125381
1156,1156,-283,432,-2010,-266,30,-186,392433291,30036011,500219762,1.046875,3205,4.242662,50.125381
1157,1157,-258,437,-1977,-245,196,125,392433289,30036008,500219765,1.050781,3209,-19.050884,121.917633
1158,1158,-258,437,-1977,-245,196,125,392433289,30036008,500219765,1.050781,3209,-19.050884,121.917633
1159,1159,-258,437,-1977,-245,196,125,392433289,30036008,500219765,1.050781,3209,-19.050884,121.917633
1160,1160,-248,442,-1964,-358,189,62,392433287,30036005,500219767,1.058594,3236,-6.394127,108.594643
1161,1161,-248,442,-1964,-358,189,62,392433287,30036005,500219767,1.058594,3236,-6.394127,108.594643
1162,1162,-296,455,-2001,-317,376,-112,392433285,30036002,500219769,1.0625,36006,-42.487797,113.427422
1163,1163,-296,455,-2001,-317,376,-112,392433285,30036002,500219769,1.0625,36006,-42.487797,113.427422
1164,1164,-296,455,-2001,-317,376,-112,392433285,30036002,500219769,1.0625,36006,-42.487797,113.427422
1165,1165,-288,477,-2016,-168,243,25,392433283,30036000,500219771,1.0625,3232,-16.101748,102.251762
1166,1166,-288,477,-2016,-168,243,25,392433283,30036000,500219771,1.0625,3232,-16.101748,102.251762
1167,1167,-288,477,-2016,-168,243,25,392433283,30036000,500219771,1.0625,3232,-16.101748,102.251762
1168,1168,-282,514,-2030,-79,336,399,392433281,30035997,500219773,1.0625,3254,-35.574524,97.910576
1169,1169,-282,514,-2030,-79,336,399,392433281,30035997,500219773,1.0625,3254,-35.574524,97.910576
1170,1170,-282,514,-2030,-79,336,399,392433281,30035997,500219773,1.0625,3254,-35.574524,97.910576
1171,1171,-279,527,-2038,55,246,60,392433279,30035995,500219775,1.0625,3256,-13.00742,91.24604
1172,1172,-279,527,-2038,55,246,60,392433279,30035995,500219775,1.0625,3256,-13.00742,91.24604
1173,1173,-279,527,-2038,55,246,60,392433279,30035995,500219775,1.0625,3256,-13.00742,91.24604
1174,1174,-267,536,-2041,207,208,195,392433276,30035992,500219776,1.058594,3257,-9.71858,88.508011
1175,1175,-267,536,-2041,207,208,195,392433276,30035992,500219776,1.058594,3257,-9.71858,88.508011
1176,1176,-267,536,-2041,207,208,195,392433276,30035992,500219776,1.058594,3257,-9.71858,88.508011
1177,1177,-283,543,-2059,261,39,101,392433273,30035990,500219778,1.054688,2955,-17.153282,96.579819
1178,1178,-283,543,-2059,261,39,101,392433273,30035990,500219778,1.054688,2955,-17.153282,96.579819
1179,1179,-283,543,-2059,261,39,101,392433273,30035990,500219778,1.054688,2955,-17.153282,96.579819
1180,1180,-284,562,-2081,150,131,-598,392433270,30035988,500219780,1.046875,2975,-9.341891,86.916985
1181,1181,-284,562,-2081,150,131,-598,392433270,30035988,500219780,1.046875,2975,-9.341891,86.916985
1182,1182,-284,562,-2081,150,131,-598,392433270,30035988,500219780,1.046875,2975,-9.341891,86.916985
1183,1183,-267,581,-2099,-385,495,-355,392433267,30035985,500219783,1.046875,3239,39.924259,-37.123703
1184,1184,-267,581,-2099,-385,495,-355,392433267,30035985,500219783,1.046875,3239,39.924259,-37.123703
1185,1185,-267,581,-2099,-385,495,-355,392433267,30035985,500219783,1.046875,3239,39.924259,-37.123703
1186,1186,-329,573,-2122,-736,191,84,392433264,30035983,500219785,1.050781,3222,-19.3221,120.482697
1187,1187,-329,573,-2122,-736,191,84,392433264,30035983,500219785,1.050781,3222,-19.3221,120.482697
1188,1188,-329,573,-2122,-736,191,84,392433264,30035983,500219785,1.050781,3222,-19.3221,120.482697
1189,1189,-299,519,-2137,-158,134,90,392433261,30035980,500219788,1.050781,3242,27.755373,118.239952
1190,1190,-299,519,-2137,-158,134,90,392433261,30035980,500219788,1.050781,3242,27.755373,118.239952
1191,1191,-299,519,-2137,-158,134,90,392433261,30035980,500219788,1.050781,3242,27.755373,118.239952
1192,1192,-291,484,-2156,-428,128,60,392433259,30035978,500219791,1.054688,3251,-2.147813,98.33033
1193,1193,-291,484,-2156,-428,128,60,392433259,30035978,500219791,1.054688,3251,-2.147813,98.33033
1194,1194,-291,484,-2156,-428,128,60,392433259,30035978,500219791,1.054688,3251,-2.147813,98.33033
1195,1195,-251,442,-2135,-277,54,-102,392433256,30035976,500219793,1.058594,3240,29.032463,102.425743
1196,1196,-251,442,-2135,-277,54,-102,392433256,30035976,500219793,1.058594,3240,29.032463,102.425743
1197,1197,-251,442,-2135,-277,54,-102,392433256,30035976,500219793,1.058594,3240,29.032463,102.425743
1198,1198,-214,428,-2132,-431,164,0,392433254,30035974,500219795,1.058594,3243,-3.238157,98.034981
1199,1199,-214,428,-2132,-431,164,0,392433254,30035974,500219795,1.058594,3243,-3.238157,98.034981
1200,1200,-214,428,-2132,-431,164,0,392433254,30035974,500219795,1.058594,3243,-3.238157,98.034981
1201,1201,-255,449,-2177,-584,41,-145,392433252,30035972,500219796,1.058594,3242,-6.462616,93.05555
1202,1202,-255,449,-2177,-584,41,-145,392433252,30035972,500219796,1.058594,3242,-6.462616,93.05555
1203,1203,-255,449,-2177,-584,41,-145,392433252,30035972,500219796,1.058594,3242,-6.462616,93.05555
1204,1204,-245,452,-2206,-88,141,-206,392433250,30035970,500219798,1.058594,3242,-9.706252,78.839439
1205,1205,-245,452,-2206,-88,141,-206,392433250,30035970,500219798,1.058594,3242,-9.706252,78.839439
1206,1206,-245,452,-2206,-88,141,-206,392433250,30035970,500219798,1.058594,3242,-9.706252,78.839439
1207,1207,-266,488,-2234,-157,36,-131,392433248,30035968,500219800,1.058594,3253,-16.211332,88.58287
1208,1208,-266,488,-2234,-157,36,-131,392433248,30035968,500219800,1.058594,3253,-16.211332,88.58287
1209,1209,-266,488,-2234,-157,36,-131,392433248,30035968,500219800,1.058594,3253,-16.211332,88.58287
1210,1210,-260,535,-2249,112,185,133,392433247,30035967,500219801,1.0625,3266,-13.034815,93.84449
1211,1211,-260,535,-2249,112,185,133,392433247,30035967,500219801,1.0625,3266,-13.034815,93.84449
1212,1212,-260,535,-2249,112,185,133,392433247,30035967,500219801,1.0625,3266,-13.034815,93.84449
1213,1213,-262,570,-2250,-16,162,62,392433245,30035964,500219803,1.0625,3282,-3.28336,104.252441
1214,1214,-262,570,-2250,-16,162,62,392433245,30035964,500219803,1.0625,3282,-3.28336,104.252441
1215,1215,-262,570,-2250,-16,162,62,392433245,30035964,500219803,1.0625,3282,-3.28336,104.252441
1216,1216,-264,604,-2227,63,119,194,392433244,30035962,500219805,1.0625,3285,-23.088991,92.552856
1217,1217,-264,604,-2227,63,119,194,392433244,30035962,500219805,1.0625,3285,-23.088991,92.552856
1218,1218,-264,604,-2227,63,119,194,392433244,30035962,500219805,1.0625,3285,-23.088991,92.552856
1219,1219,-273,638,-2194,46,-1,21,392433242,30035960,500219806,1.066406,3198,3.264183,96.412598
1220,1220,-273,638,-2194,46,-1,21,392433242,30035960,500219806,1.066406,3198,3.264183,96.412598
1221,1221,-273,638,-2194,46,-1,21,392433242,30035960,500219806,1.066406,3198,3.264183,96.412598
1222,1222,-295,670,-2163,137,-90,301,392433239,30035957,500219809,1.066406,3259,-16.464741,82.672882
1223,1223,-295,670,-2163,137,-90,301,392433239,30035957,500219809,1.066406,3259,-16.464741,82.672882
1224,1224,-295,670,-2163,137,-90,301,392433239,30035957,500219809,1.066406,3259,-16.464741,82.672882
1225,1225,-333,688,-2135,251,19,346,392433236,30035954,500219810,1.0625,3272,-1.968829,93.043755
1226,1226,-333,688,-2135,251,19,346,392433236,30035954,500219810,1.0625,3272,-1.968829,93.043755
1227,1227,-333,688,-2135,251,19,346,392433236,30035954,500219810,1.0625,3272,-1.968829,93.043755
1228,1228,-341,641,-2084,-208,3,-344,392433233,30035951,500219812,1.054688,3253,6.419286,112.181992
1229,1229,-341,641,-2084,-208,3,-344,392433233,30035951,500219812,1.054688,3253,6.419286,112.181992
1230,1230,-341,641,-2084,-208,3,-344,392433233,30035951,500219812,1.054688,3253,6.419286,112.181992
1231,1231,-360,568,-2035,-420,-125,-365,392433230,30035948,500219814,1.050781,3212,0.0,124.013367
1232,1232,-360,568,-2035,-420,-125,-365,392433230,30035948,500219814,1.050781,3212,0.0,124.013367
1233,1233,-360,568,-2035,-420,-125,-365,392433230,30035948,500219814,1.050781,3212,0.0,124.013367
1234,1234,-351,515,-2018,-70,220,300,392433228,30035945,500219816,1.046875,3228,-6.388649,143.882538
1235,1235,-351,515,-2018,-70,220,300,392433228,30035945,500219816,1.046875,3228,-6.388649,143.882538
1236,1236,-351,515,-2018,-70,220,300,392433228,30035945,500219816,1.046875,3228,-6.388649,143.882538
1237,1237,-361,458,-1990,22,305,140,392433225,30035942,500219818,1.046875,3230,-38.578453,116.32122
1238,1238,-361,458,-1990,22,305,140,392433225,30035942,500219818,1.046875,3230,-38.578453,116.32122
1239,1239,-361,458,-1990,22,305,140,392433225,30035942,500219818,1.046875,3230,-38.578453,116.32122
1240,1240,-387,422,-1949,-383,180,-587,392433223,30035939,500219820,1.042969,3218,-32.422665,114.918312
1241,1241,-387,422,-1949,-383,180,-587,392433223,30035939,500219820,1.042969,3218,-32.422665,114.918312
1242,1242,-387,422,-1949,-383,180,-587,392433223,30035939,500219820,1.042969,3218,-32.422665,114.918312
1243,1243,-370,409,-1913,-367,362,-39,392433221,30035936,500219822,1.046875,3228,-35.273174,111.288177
1244,1244,-370,409,-1913,-367,362,-39,392433221,30035936,500219822,1.046875,3228,-35.273174,111.288177
1245,1245,-370,409,-1913,-367,362,-39,392433221,30035936,500219822,1.046875,3228,-35.273174,111.288177
1246,1246,-389,415,-1922,-253,259,22,392433219,30035934,500219824,1.046875,3254,-39.975624,98.395058
1247,1247,-389,415,-1922,-253,259,22,392433219,30035934,500219824,1.046875,3254,-39.975624,98.395058
1248,1248,-389,415,-1922,-253,259,22,392433219,30035934,500219824,1.046875,3254,-39.975624,98.395058
1249,1249,-382,418,-1926,-58,109,161,392433217,30035931,500219825,1.050781,3369,-13.390957,98.880554
1250,1250,-382,418,-1926,-58,109,161,392433217,30035931,500219825,1.050781,3369,-13.390957,98.880554
1251,1251,-382,418,-1926,-58,109,161,392433217,30035931,500219825,1.050781,3369,-13.390957,98.880554
1252,1252,-378,432,-1916,124,203,129,392433215,30035929,500219827,1.050781,3241,-19.552221,91.43821
